"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_BAU_931_Till.d:308","Ich will mehr.","Chci víc.","","False","DIA_Till_BRONKOZURARBEIT_mehr.DIA_Till_BRONKOZURARBEIT.DIA_Till_BRONKOZURARBEIT_mehr","AI_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:49","Aber es stimmt. Ich habe meinen Jungs die Steckbriefe gegeben. Ich hatte keine andere Wahl.","Ale je to pravda. Dal jsem mým chlapcům ty papíry. Neměl jsem na výběr.","","False","DIA_Dexter_Hallo_09_04","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:50","Als ich versuchte, aus dem Minental zu entfliehen, entdeckten mich die Soldaten und trieben mich in eine Falle.","Když jsem utekl z Hornického údolí, objevili mě vojáci a chytili mě do pasti.","","False","DIA_Dexter_Hallo_09_05","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:51","Ich dachte schon, das wäre mein Ende, aber dann tauchte plötzlich aus der Dunkelheit diese ... Gestalt auf.","Už jsem myslel, že je po mně, ale pak najednou... se ze tmy vynořila jakási postava.","","False","DIA_Dexter_Hallo_09_06","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:52","Er trug eine schwarze Robe mit Kapuze und eine Maske überm Gesicht. Und er sprach mit einer Stimme, die alles andere als menschlich war.","Mělo to na sobě černou róbu s kápí a přes obličej masku. A mluvilo to ne tak docela lidským hlasem.","","False","DIA_Dexter_Hallo_09_07","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:53","Aber er bot mir seine Hilfe an. Er brachte mich aus dem Tal und bot mir eintausend Goldstücke für deinen Kopf.","Ale nabídl mi svou pomoc. Dostal mě z údolí a nabídl mi 1000 zlatých za tvoji hlavu.","","False","DIA_Dexter_Hallo_09_08","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:54","Hey, was sollte ich machen? Wenn ich abgelehnt hätte, dann hätte er mich getötet!","Hej, tak co jsem měl dělat? Než bych ho stačil složit, zabil by mě!","","False","DIA_Dexter_Hallo_09_09","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:94","Wo finde ich diesen Mann?","Kde toho chlapa najdu?","","False","DIA_DEXTER_WO.description","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:108","Wo finde ich diesen Mann?","Kde toho chlapa najdu?","","False","DIA_Dexter_Wo_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:111","Ich glaube, der sitzt irgendwo im Minental.","Mám dojem, že bude někde v Hornickém údolí.","","False","DIA_Dexter_Wo_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:115","Der Typ ist hier! Und nicht alleine. Da ist ein ganzer Haufen dieser Kerle überall unterwegs! Und die suchen dich.","Je tady! A není sám. Je tady celá banda těch chlapů! A hledají tě.","","False","DIA_Dexter_Wo_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:171","Ich habe dich gewarnt. Wenn ich dich nicht töte, wird er mich töten. Also lässt du mir keine Wahl.","Varoval jsem tě. Když nezabiju já tebe, zabije on mě. Nedáváš mi na výběr.","","False","DIA_Dexter_Kill_09_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_705_Angar.d:106","Was ist mit den anderen aus dem Sumpflager passiert?","Co se stalo s ostatníma z tábora v bažinách?","","False","DIA_Angar_WIEKOMMSTDUHIERHER_Info.DIA_Angar_WIEKOMMSTDUHIERHER.DIA_Angar_WIEKOMMSTDUHIERHER_andere","AI_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_KDF_500_Pyrokar.d:969","Wer hat das getan?","Kdo to byl?","","False","DIA_Pyrokar_GIVEINNOSEYE_Info.DIA_Pyrokar_GIVEINNOSEYE.DIA_Pyrokar_GIVEINNOSEYE_wer","AI_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_KDF_506_Neoras.d:472","Braue mir einen Trank der Geschwindigkeit.","Namíchej mi lektvar rychlosti.","","False","DIA_Neoras_BrewForMe_Health.DIA_Neoras_BrewForMe.DIA_Neoras_BrewForMe_Speed","AI_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_KDF_506_Neoras.d:473","Braue mir ein Mana Extrakt.","Namíchej mi výtažek many.","","False","DIA_Neoras_BrewForMe_Health.DIA_Neoras_BrewForMe.DIA_Neoras_BrewForMe_Mana","AI_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_KDF_506_Neoras.d:474","Braue mir ein Extrakt der Heilung.","Namíchej mi léčivý elixír.","","False","DIA_Neoras_BrewForMe_Health.DIA_Neoras_BrewForMe.DIA_Neoras_BrewForMe_Health","AI_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_NONE_100_Xardas.d:78","Endlich! Ich habe seit Tagen versucht, dich hier her zu bringen.","Konečně! Snažil jsem se tě sem dostat celé dny.","","False","DIA_Xardas_Hello_14_00","",""
"Scripts/Content/Story/Dialoge/DIA_NONE_100_Xardas.d:79","Ich fühle mich, als hätte ich drei Wochen unter Steinen gelegen.","Cítím se, jako bych ležel tři týdny pod hromadou kamení.","","False","DIA_Xardas_Hello_15_01","",""
"Scripts/Content/Story/Dialoge/DIA_NONE_100_Xardas.d:80","So war es auch. Nur die Magie deiner Rüstung hat dich am Leben gehalten - aber genug davon. Deine Kräfte wirst du schon wiedererlangen.","No, to je taky naprostá pravda. Naživu tě udrželo jenom kouzlo ve tvé zbroji - ale nechme toho. Musíš získat zpět všechnu svoji sílu.","","False","DIA_Xardas_Hello_14_02","",""
"Scripts/Content/Story/Dialoge/DIA_NONE_100_Xardas.d:83","Du redest von den Orks?","Mluvíš o skřetech?","","False","DIA_Xardas_Hello_15_05","",""
"Scripts/Content/Story/Dialoge/DIA_NONE_100_Xardas.d:84","Ich rede von weitaus schlimmeren Kreaturen.","Mluvím o mnohem děsivějších stvořeních.","","False","DIA_Xardas_Hello_14_06","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:159","Außerdem verlangen wir von jedem neuen Novizen die Gaben an Innos. Ein Schaf und ...","Kromě toho požadujeme od každého novice dar pro Innose. Ovci a...","","False","DIA_Pedro_TEMPEL_09_03","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_262_Wache.d:70","Wer hat hier das Sagen?","Kdo tady tomu velí?","","False","DIA_Wache_PERM_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_262_Wache.d:71","Unser Kommandant Garond und seine beiden Berater, die Paladine Oric und Parcival.","Náš velitel Garond a jeho dva poradci, paladinové Oric a Parcival.","","False","DIA_Wache_PERM_10_01","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_262_Wache.d:72","Geh einfach rein. Tagsüber halten sie sich im Thronsaal im Erdgeschoss auf.","Jen jdi dál. Během dne je najdeš v trůnním sále v přízemí.","","False","DIA_Wache_PERM_10_02","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_NW.d:274","Ich werde sehen, was ich tun kann.","Uvidím, co se dá dělat.","","False","DIA_MiltenNW_KAP3_NovizenChase_03_04","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_OW.d:71","Klar kenne ich die Jungs noch.","A co bys rád nahlásil?","","False","DIA_MiltenOW_Hello_NO.DIA_MiltenOW_Hello.DIA_MiltenOW_Hello_Friends","AI_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_DI.d:262","Schlösser knacken","Páčení zámků","","False","DIA_PC_Thief_DI_Training_Talente_PICKLOCK.DIA_PC_Thief_DI_Training_Talente.DIA_PC_Thief_DI_Training_Talente_PICKLOCK","AI_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_NW.d:75","Wer bist du?","Kdo jsi?","","False","DIA_DiegoNW_NeedHelp_Info.DIA_DiegoNW_NeedHelp.DIA_DiegoNW_NeedHelp_WhoAreYou","AI_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_NW.d:147","Ich habe im Minental einen kleinen Schatz versteckt.","V Hornickém údolí jsem si schoval menší jmění.","","False","DIA_DiegoNW_NeedHelp_Problem_WillHelpYou_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_NW.d:148","Eigentlich wollte ich ihn ja holen, aber leider tummeln sich einige Orks bei dem Versteck rum.","Chtěl jsem si ho vyzvednout, ale bohužel poblíž skrýše se utábořila banda skřetů.","","False","DIA_DiegoNW_NeedHelp_Problem_WillHelpYou_11_02","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_NW.d:218","Wieso holst du ihn nicht selbst?","Proč si ho nepřineseš sám?","","False","DIA_DiegoNW_HelpYou_15_04","",""
