"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/SVM.d:1497","Ich steh auf diese ganze Scheiße!","J'aime bien ça !","","False","SVM_9_MonsterKilled","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Mattes.d:5","Dexter hat die Steckbriefe verteilt. Typen mit schwarzen Kapuzen haben ihn damit beauftragt.","Dexter m'a donné les avis de recherche. Ce sont des hommes avec des capuchons noirs qui lui ont dit de faire ça.","","False","Topic_Bandits_3","",""
"Scripts/Content/Story/NPC/Monster/MST_Scavenger_Demon.d:4","Scavenger","Charognard","","False","Mst_Default_Scavenger_Demon.name","",""
"Scripts/Content/Items/IT_AnimalTrophy.d:266","Lurkerhaut","Peau de guetteur","","False","itat_LurkerSkin.name","",""
"Scripts/Content/Items/IT_AnimalTrophy.d:272","Eine Lurkerhaut","Une peau de guetteur.","","False","itat_LurkerSkin.description","",""
"Scripts/Content/Items/IT_Runen.d:2","Paladin Zauber","Rune de paladin","","False","Name_PaladinSpell","",""
"Scripts/Content/Items/IT_Scrolls.d:2","Paladin Zauber","","","False","Name_PaladinScroll","",""
"Scripts/Content/Story/Text.d:166","Drache","Dragon","","True","TXT_GUILDS[48]","",""
"Scripts/Content/Story/Text.d:173","Ork","Orque","","False","TXT_GUILDS[55]","",""
"Scripts/Content/Story/Text.d:174","Ork","Orque","","False","TXT_GUILDS[56]","",""
"Scripts/Content/Story/Text.d:175","Untoter Ork","Orque mort-vivant","","False","TXT_GUILDS[57]","",""
"Scripts/Content/Story/Text.d:176","Drakonier","Draconien","","False","TXT_GUILDS[58]","",""
"Scripts/Content/Story/Text.d:322","Schlösser öffnen","Crochetage","","False","TXT_TALENTS[5]","",""
"Scripts/Content/Story/Text.d:452","Selbstgeschmiedetes Schwert","Epée forgée","","False","NAME_ItMw_1H_Common_01","",""
"Scripts/Content/Story/Text.d:542","Bring mir bei, wie man ein ordentliches Schwert schmiedet!","Apprenez-moi à forger une arme correcte !","","False","NAME_LEARN_SWORD","",""
"Scripts/Content/Story/Text.d:554","Innos erhört dich und schenkt dir: Stärke + ","Innos vous accorde : Force +","","False","PRINT_BlessSTR","",""
"Scripts/Content/Story/Text.d:555","Innos erhört dich und schenkt dir: Geschicklichkeit + ","Innos vous accorde : Dextérité +","","False","PRINT_BlessDEX","",""
"Scripts/Content/Story/Text.d:556","Innos erhört dich und schenkt dir: Mana + ","Innos vous accorde : Mana +","","False","PRINT_BlessMANA_MAX","",""
"Scripts/Content/Story/Text.d:557","Innos erhört dich und schenkt dir: Lebensenergie + ","Innos vous accorde : Points de vie +","","False","PRINT_BlessHitpoints_MAX","",""
"Scripts/Content/Story/Text.d:558","Innos erhört dich und du bist erfüllt von geistiger Klarheit.","Innos vous entend et illumine votre esprit.","","False","PRINT_BlessMANA","",""
"Scripts/Content/Story/Text.d:560","Innos erhört dich du fühlst dich wie neugeboren.","Innos vous entend. Vous vous sentez renaître.","","False","Print_BlessMana_Hit","",""
"Scripts/Content/Story/Text.d:584","Stärke +1","Force + 1","","False","PRINT_STR1","",""
"Scripts/Content/Story/Text.d:585","Mana +10","Mana + 10","","False","PRINT_MANA10","",""
"Scripts/Content/Story/Text.d:586","Geschicklichkeit + 2","Dextérité + 2","","False","PRINT_DEX2","",""
