"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_BAU_931_Till.d:308","Ich will mehr.","J'en veux plus.","","False","DIA_Till_BRONKOZURARBEIT_mehr.DIA_Till_BRONKOZURARBEIT.DIA_Till_BRONKOZURARBEIT_mehr","AI_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:49","Aber es stimmt. Ich habe meinen Jungs die Steckbriefe gegeben. Ich hatte keine andere Wahl.","Mais c'est vrai. J'ai donné à mes gars les avis de recherche. Je n'avais guère le choix.","","False","DIA_Dexter_Hallo_09_04","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:50","Als ich versuchte, aus dem Minental zu entfliehen, entdeckten mich die Soldaten und trieben mich in eine Falle.","Quand j'ai voulu fuir la Vallée des mines, les soldats m'ont découvert et m'ont tendu un piège.","","False","DIA_Dexter_Hallo_09_05","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:51","Ich dachte schon, das wäre mein Ende, aber dann tauchte plötzlich aus der Dunkelheit diese ... Gestalt auf.","J'ai cru que c'en était fait de moi mais soudain cette... cette silhouette a surgi des ténèbres.","","False","DIA_Dexter_Hallo_09_06","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:52","Er trug eine schwarze Robe mit Kapuze und eine Maske überm Gesicht. Und er sprach mit einer Stimme, die alles andere als menschlich war.","L'individu portait une robe noire avec un capuchon et un masque sur le visage. Il parlait d'une voix qui n'avait rien d'humaine.","","False","DIA_Dexter_Hallo_09_07","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:53","Aber er bot mir seine Hilfe an. Er brachte mich aus dem Tal und bot mir eintausend Goldstücke für deinen Kopf.","Il m'a offert son aide et m'a fait quitter la vallée. Puis il m'a donné mille pièces d'or pour votre tête.","","False","DIA_Dexter_Hallo_09_08","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:54","Hey, was sollte ich machen? Wenn ich abgelehnt hätte, dann hätte er mich getötet!","Que devais-je faire ? Si j'avais refusé il m'aurait tué !","","False","DIA_Dexter_Hallo_09_09","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:94","Wo finde ich diesen Mann?","Où puis-je trouver cet homme ?","","False","DIA_DEXTER_WO.description","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:108","Wo finde ich diesen Mann?","Où puis-je trouver cet homme ?","","False","DIA_Dexter_Wo_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:111","Ich glaube, der sitzt irgendwo im Minental.","Je crois qu'il est quelque part dans la Vallée des mines.","","False","DIA_Dexter_Wo_09_01","",""
